machine_id,temperature,vibration,timestamp,factory_id
1,298.2,1348,1,1
1,297.8,1343,2,1
1,297.8,1401,3,1
1,298.6,1413,4,1
1,298.1,1348,5,1
1,299,1405,6,1
1,299.6,1303,7,1
1,299.8,1371,8,1
1,300.1,1490,9,1
1,298.1,1375,10,1
1,299.6,1396,11,1
1,298.8,1404,12,1
1,299.9,1662,13,1
1,299.8,1391,14,1
1,299.4,1346,15,1
1,300.6,1457,16,1
1,300.4,1336,17,1
1,300.4,1454,18,1
1,300.4,1399,19,1
1,301.4,1412,20,1
1,300.3,1326,21,1
1,301,1318,22,1
1,301.6,1406,23,1
1,301.3,1435,24,1
1,303.1,1154,25,1
1,301.6,1450,26,1
1,301.5,1433,27,1
1,301.2,1444,28,1
1,301.8,1318,29,1
1,302.1,1435,30,1
1,303.2,1290,31,1
1,302.5,1664,32,1
1,303.3,1386,33,1
1,303.2,1339,34,1
1,303.1,1224,35,1
1,303.1,1398,36,1
1,303.2,1218,37,1
1,303.5,1236,38,1
1,303.9,1367,39,1
1,303.8,1425,40,1
1,304.1,1490,41,1
1,305.1,1299,42,1
1,303.6,1434,43,1
1,304.9,1382,44,1
1,304.7,1422,45,1
1,304.7,1383,46,1
1,305,1406,47,1
1,305.9,1415,48,1
1,305.3,1340,49,1
1,304.9,1290,50,1
1,305.6,1425,51,1
1,306.3,1569,52,1
1,306.1,1404,53,1
1,306.1,1278,54,1
1,305.4,1420,55,1
1,305.9,1549,56,1
1,306,1556,57,1
1,307.2,1273,58,1
1,306.2,1363,59,1
1,308,1352,60,1
1,306.8,1316,61,1
1,307.4,1443,62,1
1,307.5,1300,63,1
1,306.8,1337,64,1
1,307,1469,65,1
1,307.7,1455,66,1
1,307.5,1438,67,1
1,307.6,1483,68,1
1,308.4,1468,69,1
1,309.3,1350,70,1
1,308.7,1384,71,1
1,308.5,1473,72,1
1,308.7,1489,73,1
1,308.7,1313,74,1
1,309.7,1379,75,1
1,309.8,1339,76,1
1,310.4,1408,77,1
1,310.1,1331,78,1
1,309.7,1513,79,1
1,309.8,1296,80,1
1,310.1,1367,81,1
1,310,1347,82,1
1,310.3,1422,83,1
1,309.7,1404,84,1
1,310.3,1441,85,1
1,310.2,1482,86,1
1,311.1,1419,87,1
1,311.7,1472,88,1
1,311.9,1464,89,1
1,311.7,1404,90,1
1,311.4,1498,91,1
1,312,1445,92,1
1,311.7,1403,93,1
1,312.6,1300,94,1
1,311.8,1359,95,1
1,312.8,1240,96,1
1,311.9,1456,97,1
1,312.4,1424,98,1
1,312.9,1602,99,1
1,312.6,1494,100,1
2,296.8,1471,101,1
2,298.4,1591,102,1
2,298.4,1352,103,1
2,298.3,1513,104,1
2,299.3,1500,105,1
2,299.1,1463,106,1
2,300.1,1296,107,1
2,298.1,1400,108,1
2,299,1367,109,1
2,299,1324,110,1
2,300,1471,111,1
2,299.8,1466,112,1
2,299.4,1400,113,1
2,299.5,1772,114,1
2,300.3,1325,115,1
2,301.1,1339,116,1
2,301,1352,117,1
2,301.3,1362,118,1
2,301,1458,119,1
2,300.3,1579,120,1
2,301.2,1300,121,1
2,301.5,1360,122,1
2,302.1,1384,123,1
2,301.5,1551,124,1
2,301.9,1492,125,1
2,301.8,1375,126,1
2,301.7,1434,127,1
2,302.3,1480,128,1
2,301.6,1455,129,1
2,302.5,1536,130,1
2,301.8,1454,131,1
2,302.6,1420,132,1
2,302.7,1334,133,1
2,302.8,1320,134,1
2,303.5,1375,135,1
2,303.8,1309,136,1
2,304.7,1371,137,1
2,303.8,1414,138,1
2,304.5,1400,139,1
2,303.8,1467,140,1
2,304.8,1392,141,1
2,303.6,1354,142,1
2,304.7,1411,143,1
2,304.6,1573,144,1
2,305,1470,145,1
2,305,1417,146,1
2,304.8,1448,147,1
2,304.7,1411,148,1
2,305.5,1337,149,1
2,306.1,1344,150,1
2,305.9,1410,151,1
2,305.7,1409,152,1
2,306.5,1430,153,1
2,306,1234,154,1
2,305.8,1470,155,1
2,307.5,1375,156,1
2,306.7,1541,157,1
2,306.3,1394,158,1
2,306.9,1353,159,1
2,306.7,1390,160,1
2,307.5,1383,161,1
2,307.7,1519,162,1
2,307.5,1475,163,1
2,307.9,1303,164,1
2,307.8,1258,165,1
2,308,1304,166,1
2,308.5,1400,167,1
2,309.4,1357,168,1
2,308.7,1455,169,1
2,308.7,1365,170,1
2,308.3,1141,171,1
2,308.5,1583,172,1
2,308,1456,173,1
2,308.3,1522,174,1
2,309.2,1354,175,1
2,308.7,1458,176,1
2,309.4,1305,177,1
2,310.1,1402,178,1
2,310.4,1509,179,1
2,309.5,1350,180,1
2,310.6,1513,181,1
2,309.4,1464,182,1
2,310.5,1201,183,1
2,311,1411,184,1
2,310.1,1298,185,1
2,310.1,1407,186,1
2,310.7,1199,187,1
2,311.3,1425,188,1
2,310.7,1432,189,1
2,311.3,1527,190,1
2,312.7,1477,191,1
2,312.1,1341,192,1
2,311.9,1230,193,1
2,312.7,1604,194,1
2,312.3,1391,195,1
2,311.2,1419,196,1
2,312.9,1309,197,1
2,313.1,1454,198,1
2,313.7,1400,199,1
2,312.4,1500,200,1
3,297.8,1422,201,1
3,298.6,1478,202,1
3,298.4,1458,203,1
3,298.6,1491,204,1
3,299,1443,205,1
3,299,1528,206,1
3,298.3,1563,207,1
3,299,1289,208,1
3,299.3,1271,209,1
3,299.2,1520,210,1
3,299.2,1574,211,1
3,299.1,1418,212,1
3,299.4,1421,213,1
3,299.3,1452,214,1
3,300.2,1440,215,1
3,300.7,1347,216,1
3,300.7,1257,217,1
3,302,1245,218,1
3,301,1522,219,1
3,300.6,1424,220,1
3,301,1458,221,1
3,299.3,1516,222,1
3,300.7,1286,223,1
3,301.7,1265,224,1
3,301.6,1459,225,1
3,302.1,1429,226,1
3,302.1,1377,227,1
3,301.8,1417,228,1
3,302.7,1326,229,1
3,302.5,1289,230,1
3,302.7,1533,231,1
3,302.4,1273,232,1
3,302,1296,233,1
3,303.8,1429,234,1
3,303.5,1207,235,1
3,304.3,1348,236,1
3,303.3,1599,237,1
3,303.1,1413,238,1
3,303.6,1456,239,1
3,303.5,1482,240,1
3,304.2,1331,241,1
3,304.2,1342,242,1
3,304.5,1506,243,1
3,304.8,1535,244,1
3,304.5,1522,245,1
3,304.5,1378,246,1
3,305.6,1507,247,1
3,304.7,1546,248,1
3,304.3,1308,249,1
3,305.1,1452,250,1
3,305.6,1334,251,1
3,305.8,1289,252,1
3,306,1375,253,1
3,305.5,1515,254,1
3,307.5,1412,255,1
3,305.8,1421,256,1
3,305.6,1231,257,1
3,307,1402,258,1
3,306.5,1307,259,1
3,308.1,1330,260,1
3,307.5,1458,261,1
3,308.2,1241,262,1
3,307.7,1513,263,1
3,307.2,1396,264,1
3,306.8,1219,265,1
3,308.9,1615,266,1
3,307.5,1456,267,1
3,308.2,1221,268,1
3,308,1288,269,1
3,308.6,1338,270,1
3,308.8,1376,271,1
3,308.6,1375,272,1
3,308.6,1306,273,1
3,308.7,1231,274,1
3,309.3,1465,275,1
3,310.3,1507,276,1
3,309.1,1396,277,1
3,309.7,1385,278,1
3,309.2,1278,279,1
3,310.3,1398,280,1
3,310.5,1343,281,1
3,311,1272,282,1
3,310,1478,283,1
3,311.3,1226,284,1
3,309.8,1504,285,1
3,311.1,1385,286,1
3,310.5,1485,287,1
3,312.2,1495,288,1
3,310.8,1382,289,1
3,310.9,1195,290,1
3,313.2,1377,291,1
3,311.4,1426,292,1
3,311.4,1482,293,1
3,311.5,1360,294,1
3,311.6,1161,295,1
3,313.3,1657,296,1
3,312.7,1256,297,1
3,313.4,1449,298,1
3,312.1,1397,299,1
3,312.5,1313,300,1
4,299.3,1417,301,1
4,299.3,1360,302,1
4,298.6,1532,303,1
4,298.8,1347,304,1
4,299.1,1307,305,1
4,298.1,1368,306,1
4,299.4,1532,307,1
4,299.3,1459,308,1
4,298,1509,309,1
4,299.7,1481,310,1
4,299.7,1344,311,1
4,299.2,1528,312,1
4,300,1318,313,1
4,300.4,1367,314,1
4,299.9,1476,315,1
4,300.6,1383,316,1
4,300.4,1340,317,1
4,300.5,1454,318,1
4,300.8,1347,319,1
4,302.2,1254,320,1
4,301.4,1458,321,1
4,300.4,1287,322,1
4,301.3,1457,323,1
4,302.4,1501,324,1
4,302.3,1439,325,1
4,302.2,1483,326,1
4,302.6,1312,327,1
4,302.5,1322,328,1
4,302.5,1386,329,1
4,302.7,1352,330,1
4,302.8,1423,331,1
4,303.6,1341,332,1
4,303.7,1550,333,1
4,302.3,1482,334,1
4,303.5,1570,335,1
4,304,1365,336,1
4,303.1,1271,337,1
4,303.8,1359,338,1
4,303.5,1368,339,1
4,304,1437,340,1
4,303.9,1411,341,1
4,303.9,1408,342,1
4,304.5,1333,343,1
4,304,1517,344,1
4,305.3,1350,345,1
4,306.1,1425,346,1
4,305.9,1373,347,1
4,304.4,1418,348,1
4,304.9,1399,349,1
4,305.5,1502,350,1
4,304.9,1399,351,1
4,306.1,1517,352,1
4,305.8,1350,353,1
4,306.5,1310,354,1
4,305.2,1200,355,1
4,305.6,1343,356,1
4,307.2,1473,357,1
4,305.9,1224,358,1
4,307.1,1350,359,1
4,306.8,1312,360,1
4,307.7,1492,361,1
4,307.8,1390,362,1
4,307.6,1289,363,1
4,307,1295,364,1
4,308.2,1462,365,1
4,307.7,1325,366,1
4,308,1324,367,1
4,307.8,1551,368,1
4,309.1,1500,369,1
4,307.9,1421,370,1
4,309.1,1400,371,1
4,308.2,1328,372,1
4,309.4,1468,373,1
4,308.5,1411,374,1
4,309.6,1530,375,1
4,309.1,1311,376,1
4,310.5,1436,377,2
4,309.9,1381,378,2
4,309.1,1592,379,2
4,309,1331,380,2
4,309.7,1107,381,2
4,310.2,1262,382,2
4,310.6,1623,383,2
4,310,1321,384,2
4,311.1,1304,385,2
4,311.2,1476,386,2
4,310.6,1439,387,2
4,311.7,1353,388,2
4,311.5,1282,389,2
4,311.1,1306,390,2
4,311.3,1460,391,2
4,311.5,1436,392,2
4,311.5,1326,393,2
4,312.3,1147,394,2
4,311.4,1390,395,2
4,312.4,1305,396,2
4,311.9,1476,397,2
4,312.2,1360,398,2
4,312.1,1340,399,2
4,313.2,1297,400,2
5,298.5,1374,401,2
5,299.5,1592,402,2
5,298.3,1349,403,2
5,298.7,1563,404,2
5,298.8,1622,405,2
5,299.4,1392,406,2
